FACC AG INH.AKT.;AT00000FACC2;000A1147K;1FC;OESTERREICH
RAIFFEISEN BK INTL INH.;AT0000606306;000A0D9SU;RAW;OESTERREICH
PORR AG;AT0000609607;850185;ABS2;OESTERREICH
CA IMMOB.ANL.;AT0000641352;876520;BZY;OESTERREICH
LENZING AG;AT0000644505;852927;LEN;OESTERREICH
ERSTE GROUP BNK INH. O.N.;AT0000652011;909943;EBO;OESTERREICH
S IMMO AG;AT0000652250;902388;T1L;OESTERREICH
TELEKOM AUSTRIA AG;AT0000720008;588811;TA1;OESTERREICH
ANDRITZ AG;AT0000730007;632305;AZ2;OESTERREICH
OMV AG;AT0000743059;874341;OMV;OESTERREICH
VERBUND AG       INH. A;AT0000746409;877738;OEWA;OESTERREICH
SANOCHEM. PHARMAZEUTIKA;AT0000776307;919963;SAC;OESTERREICH
FABASOFT AG;AT0000785407;922985;FAA;OESTERREICH
DO + CO AG;AT0000818802;915210;DOQ;OESTERREICH
UNIQA INSURANCE GROUP AG;AT0000821103;928900;UN9;OESTERREICH
WARIMPEX FIN.U.BETEIL. AG;AT0000827209;000A0LGV4;WFS;OESTERREICH
WIENERBERGER;AT0000831706;852894;WIB;OESTERREICH
ZUMTOBEL GROUP AG INH. A;AT0000837307;000A0JLPR;T9Z;OESTERREICH
VIENNA INSURANCE GRP INH.;AT0000908504;000A0ET17;WSV2;OESTERREICH
ROSENBAUER INTL;AT0000922554;892502;ROI;OESTERREICH
VOESTALPINE AG;AT0000937503;897200;VAS;OESTERREICH
SCHOELLER-BLECKMANN OILF.;AT0000946652;907391;SLL;OESTERREICH
AT+S AUSTR.T.+SYSTEMT.;AT0000969985;922230;AUS;OESTERREICH
PETRO WELT TECHNOLOGIE.AG;AT0000A00Y78;000A0JKWU;O2C;OESTERREICH
S+T AG (Z.REG.MK.Z.)O.N.;AT0000A0E9W5;000A0X9EJ;SANT;SDAX
IMMOFINANZ AG INH.;AT0000A21KS2;000A2JN9W;IMO1;OESTERREICH
OESTERREICH. POST AG;AT0000APOST4;000A0JML5;O3P;OESTERREICH
PIERER MOBILITY AG;AT0000KTMI02;000A2JKHY;PMAG;OESTERREICH
AGRANA BET.AG INH.;AT000AGRANA3;000A2NB37;AGB2;OESTERREICH
FREQUENTIS AG;ATFREQUENT09;000A2PHG5;FQT;OESTERREICH
ANHEUSER-BUSCH INBEV;BE0974293251;000A2ASUV;1NBA;BELGIEN NIEDERLANDE LUXEMBURG
EXPAT BUL.SOFIX UCITS ETF;BG9000011163;000A2ARPV;BGX;EXCHANGE TRADED FUNDS - PASSIV
EXPAT CROAT.CROBEX UCITS;BGCROEX03189;000A2JB7C;ECDC;EXCHANGE TRADED FUNDS - PASSIV
EXPAT CZECH PX UCITS ETF;BGCZPX003174;000A2JAG6;CZX;EXCHANGE TRADED FUNDS - PASSIV
EXPAT GREECE ASE UC.ETF;BGGRASE06174;000A2JAG9;GRX;EXCHANGE TRADED FUNDS - PASSIV
EXPAT HUNG. BUX UCITS ETF;BGHUBUX01189;000A2JB7B;HUBE;EXCHANGE TRADED FUNDS - PASSIV
EXPAT MAC.MBI10 UCITS ETF;BGMACMB06181;000A2JB7E;MKK1;EXCHANGE TRADED FUNDS - PASSIV
EXPAT POLAND WIG20 U.ETF;BGPLWIG04173;000A2JAHA;PLX;EXCHANGE TRADED FUNDS - PASSIV
EXPAT ROMANIA BET-BK U.E.;BGROBET05176;000A2JAHB;ROX;EXCHANGE TRADED FUNDS - PASSIV
EXPAT SLOVAK.SAX UCITS;BGSKSAX04187;000A2JB7H;SK9A;EXCHANGE TRADED FUNDS - PASSIV
EXPAT SLOV.SBI TOP UCITS;BGSLOBI02187;000A2JB7F;SLQX;EXCHANGE TRADED FUNDS - PASSIV
EXPAT SERB.BELEX15 UCITS;BGSRBBE05183;000A2JB7D;ESNB;EXCHANGE TRADED FUNDS - PASSIV
BARRICK GOLD CORP.;CA0679011084;870450;ABR;NORDAMERIKA
DREAM GL.REAL EST.I.TR.U.;CA26154A1066;000A1131Y;DRG;NORDAMERIKA
FIRST MAJESTIC SILVER;CA32076V1031;000A0LHKJ;FMV;NORDAMERIKA
KINROSS GOLD CORP.;CA4969024047;000A0DM94;KIN2;NORDAMERIKA
WHEATON PREC. METALS;CA9628791027;000A2DRBP;SII;NORDAMERIKA
YAMANA GOLD INC.;CA98462Y1007;357818;RNY;NORDAMERIKA
HIGHL.EVENT A.ENT.INH.SF9;CH0003583256;896040;L60;SCHWEIZ LIECHTENSTEIN
HIGHLIGHT CMNCTS INH.SF 1;CH0006539198;920299;HLG;SCHWEIZ LIECHTENSTEIN
LINDT SPRUENGLI PS  SF 10;CH0010570767;870503;LSPP;SCHWEIZ LIECHTENSTEIN
ROCHE HLDG AG GEN.;CH0012032048;855167;RHO5;SCHWEIZ LIECHTENSTEIN
