1;iShares STOXX Europe 50 UCITS ETF;IE0008470928;iShares;EUN1;EUN1.DE;EUN1 GY;11.04.2000;;0,35%;0,35%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,00%;3BLO;DE000A0S3F37;EUEINAV.DE;VLEUE;STOXX Europe 50 Index;30. Sep 19;49,1;668,51;5,54;www.ishares.com
2;iShares Core EURO STOXX 50 UCITS ETF EUR (Dist);IE0008471009;iShares;EUN2;EUN2.DE;EUN2 GY;11.04.2000;;0,16%;0,16%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,00%;3BLI;DE000A0S3FX9;IEUTINAV.DE;BEIFIETA;EURO STOXX 50 Index;30. Sep 19;112,34;4.419,74;3,93;www.ishares.com
3;iShares Core EURO STOXX 50 UCITS ETF (DE);DE0005933956;iShares;EXW1;EXW1.DE;SX5EEX GY;03.01.2001;;0,16%;0,16%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,00%;NAVE;DE0005705446;SSMINAV.DE;SMINAV;EURO STOXX 50 Index;30. Sep 19;350,89;6.887,20;3,22;www.ishares.com
4;iShares Core DAX UCITS ETF (DE);DE0005933931;iShares;EXS1;EXS1.DE;DAXEX GY;03.01.2001;;0,16%;0,16%;Accumulating;Full Replication;EUR;EUR;100.000 EUR;1,00%;NAVD;DE0005704779;STOXX50NAV.DE;SX5PNAV;DAX Index;30. Sep 19;741,79;6.363,00;3,05;www.ishares.com
5;iShares STOXX Europe 50 UCITS ETF (DE);DE0005933949;iShares;EXW3;EXW3.DE;SX5PEX GY;03.01.2001;;0,51%;0,51%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,00%;NAVS;DE0005705453;STOXX50ENAV.DE;SX5ENAV;STOXX Europe 50 Index;30. Sep 19;2,43;118,71;7,76;www.ishares.com
6;iShares SLI UCITS ETF (DE);DE0005933964;iShares;EXI1;EXI1.DE;SMIEX GY;04.04.2001;;0,51%;0,51%;Distributing;Full Replication;CHF;EUR;100.000 EUR;1,00%;NAVF;DE0006300627;TECDAXNAV.DE;TDXPNAV;SLI Swiss Leader Index;30. Sep 19;2,91;231,53;11,01;www.ishares.com
7;iShares MDAX UCITS ETF (DE);DE0005933923;iShares;EXS3;EXS3.DE;MDAXEX GY;25.04.2001;;0,51%;0,51%;Accumulating;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVG;DE0006300635;GDAXINAV.DE;DAXNAV;MDAX Index;30. Sep 19;44,89;1.521,67;6,12;www.ishares.com
8;iShares EURO STOXX Banks 30-15 UCITS ETF (DE);DE0006289309;iShares;EXX1;SX7EEX.DE;SX7EEX GY;04.05.2001;;0,52%;0,52%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVP;DE0006301047;SXKENAV.DE;SXKEEX;EURO STOXX Banks 30-15 Index;30. Sep 19;148,36;1.089,07;10,25;www.ishares.com
9;iShares EURO STOXX Telecommunications 30-15 UCITS ETF (DE);DE0006289317;iShares;EXX2;SXKEEX.DE;SXKEEX GY;04.05.2001;;0,51%;0,51%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVQ;DE0006301054;DJGTENAV.DE;DJGTENAV;EURO STOXX Telecommunications 30-15 Index;30. Sep 19;2,22;11,55;13,84;www.ishares.com
10;iShares Dow Jones Global Titans 50 UCITS ETF (DE);DE0006289382;iShares;EXI2;DJGTEEX.DE;DJGTEEX GY;17.08.2001;;0,51%;0,51%;Distributing;Full Replication;EUR;EUR;100.000 EUR;1,50%;NAVJ;DE0006300676;DJINAV.DE;INDUNAV;Dow Jones Global Titans 50 Index;30. Sep 19;13,84;349,41;21,88;www.ishares.com
